timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
135000,-9.22,0.97,-2.81,0,0,1,136
135020,-9.34,1.02,-2.82,0,0,1,136
135040,-9.26,1.01,-2.89,0,0,1,136
135060,-9.33,0.95,-2.91,0,0,1,136
135080,-9.89,0.99,-3.01,0,0,1,136
135100,-9.11,0.75,-3.06,0,0,1,136
135120,-9.15,0.74,-2.59,0,0,1,136
135140,-8.98,0.95,-2.59,0,0,1,136
135160,-8.92,1.31,-2.65,0,0,1,136
135180,-9.02,1.21,-2.62,0,0,1,136
135200,-9.22,1.22,-2.66,0,0,1,136
135220,-9.29,1.14,-2.54,0,0,1,136
135240,-9.26,1.03,-2.51,0,0,1,136
135260,-9.32,1.03,-2.68,0,0,1,136
135280,-9.24,1.2,-2.65,0,0,1,136
135300,-9.11,1.49,-2.51,0,0,1,136
135320,-9.02,1.6,-2.35,0,0,1,136
135340,-9.05,1.43,-2.67,0,0,1,136
135360,-9.2,1.2,-2.68,0,0,1,136
135380,-9.3,1.11,-2.68,0,0,1,136
135400,-9.34,1.07,-2.75,0,0,1,136
135420,-9.34,1.13,-2.63,0,0,1,136
135440,-9.35,1.14,-2.4,0,0,1,136
135460,-9.25,1.04,-2.5,0,0,1,136
135480,-9.32,1.07,-2.51,0,0,1,136
135500,-9.12,1.29,-2.74,0,0,1,136
135520,-9.27,1.52,-2.54,0,0,1,136
135540,-9.49,1.52,-2.51,0,0,1,136
135560,-9.11,1.26,-2.64,0,0,1,136
135580,-9.09,1.12,-2.78,0,0,1,136
135600,-9.36,1.24,-2.9,0,0,1,136
135620,-9.21,1.41,-2.58,0,0,1,136
135640,-9.18,1.1,-2.81,0,0,1,136
135660,-9.21,1.12,-2.67,0,0,1,136
135680,-9.42,0.95,-2.87,0,0,1,136
135700,-9.1,1.12,-2.59,0,0,1,136
135720,-9.11,0.98,-2.72,0,0,1,136
135740,-9.23,0.69,-2.83,0,0,1,136
135760,-9.37,0.66,-2.82,0,0,1,136
135780,-9.3,0.83,-2.49,0,0,1,136
135800,-9.3,0.89,-2.54,0,0,1,136
135820,-9.21,0.98,-2.46,0,0,1,136
135840,-9.48,0.69,-2.7,0,0,1,136
135860,-9.28,0.65,-2.94,0,0,1,136
135880,-9.31,0.92,-2.81,0,0,1,136
135900,-9.4,0.83,-2.87,0,0,1,136
135920,-9.29,0.86,-2.56,0,0,1,136
135940,-9.55,0.87,-2.54,0,0,1,136
135960,-9.06,0.99,-2.53,0,0,1,136
135980,-9.07,1.07,-2.65,0,0,1,136
136000,-9.27,1.09,-2.44,0,0,1,136
136020,-9.34,0.87,-2.85,0,0,1,136
136040,-9.13,0.88,-2.65,0,0,1,136
136060,-9.26,0.79,-2.7,0,0,1,136
136080,-9.45,1.37,-2.57,0,0,1,136
136100,-9.22,1.49,-2.72,0,0,1,136
136120,-9.52,1.32,-2.57,0,0,1,136
136140,-9.45,0.69,-3.04,0,0,1,136
136160,-9.15,0.87,-2.83,0,0,1,136
136180,-8.86,1.32,-2.36,0,0,1,136
136200,-9.16,1.44,-2.54,0,0,1,136
136220,-9.43,1.42,-2.46,0,0,1,136
136240,-9.25,1.11,-2.54,0,0,1,136
136260,-8.95,1.07,-2.56,0,0,1,136
136280,-8.76,1.47,-1.98,0,0,1,136
136300,-9.36,1.51,-2.48,0,0,1,136
136320,-9.52,1.48,-3.05,0,0,1,136
136340,-9.14,1.17,-2.17,0,0,1,136
136360,-9.23,0.61,-3.2,0,0,1,136
136380,-8.81,1.23,-2.12,0,0,1,136
136400,-9.1,1.16,-2.55,0,0,1,136
136420,-9.18,1.81,-2.41,0,0,1,136
136440,-9.8,1.29,-2.82,0,0,1,136
136460,-8.9,0.98,-2.74,0,0,1,136
136480,-9.47,0.69,-3.16,0,0,1,136
136500,-9.18,1.41,-2.62,0,0,1,136
136520,-9.09,0.79,-3.17,0,0,1,136
136540,-8.93,1.64,-2.87,0,0,1,136
136560,-9.33,0.61,-3.52,0,0,1,136
136580,-9.48,1.42,-2.71,0,0,1,136
136600,-9.1,0.58,-3.81,0,0,1,136
136620,-8.9,1.4,-2.36,0,0,1,136
136640,-9.16,0.9,-3.44,0,0,1,136
136660,-9.33,1.14,-3.09,0,0,1,136
136680,-9.06,1.79,-2.78,0,0,1,136
136700,-9.82,2.46,-2.79,0,0,1,136
136720,-10.57,2.0,-2.24,0,0,1,136
136740,-10.82,-0.53,-2.74,0,0,1,136
136760,-8.98,-0.44,-2.42,0,0,1,136
136780,-8.78,-0.26,-3.09,0,0,1,136
136800,-9.03,1.28,-2.34,0,0,1,136
136820,-9.37,1.88,-2.76,0,0,1,136
136840,-9.21,1.48,-3.22,0,0,1,136
136860,-8.9,1.55,-3.42,0,0,1,136
136880,-8.8,2.24,-2.17,0,0,1,136
136900,-8.98,1.44,-1.63,0,0,1,136
136920,-9.65,0.66,-2.91,0,0,1,136
136940,-10.4,-0.45,-2.8,0,0,1,136
136960,-10.73,1.15,-2.6,0,0,1,136
136980,-9.43,2.23,-0.97,0,0,1,136
