timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
95000,-7.68,1.39,-3.51,0,0,1,96
95020,-7.72,1.47,-3.53,0,0,1,96
95040,-7.12,1.63,-2.87,0,0,1,96
95060,-6.89,1.79,-2.56,0,0,1,96
95080,-7.28,1.78,-3.1,0,0,1,96
95100,-7.76,1.99,-3.93,0,0,1,96
95120,-8.22,2.4,-4.84,0,0,1,96
95140,-8.09,2.49,-4.87,0,0,1,96
95160,-7.59,2.51,-4.2,0,0,1,96
95180,-7.18,2.63,-3.35,0,0,1,96
95200,-7.46,3.11,-3.26,0,0,1,96
95220,-7.99,3.77,-3.92,0,0,1,96
95240,-7.68,4.18,-4.78,0,0,1,96
95260,-8.12,4.7,-4.71,0,0,1,96
95280,-8.06,5.13,-4.65,0,0,1,96
95300,-8.48,4.68,-4.4,0,0,1,96
95320,-12.25,2.31,-6.05,0,0,1,96
95340,-13.31,-0.14,-8.86,0,0,1,96
95360,-10.56,-1.04,-6.68,0,0,1,96
95380,-8.18,-1.93,-2.72,0,0,1,96
95400,-8.38,-0.43,-1.94,0,0,1,96
95420,-7.93,2.57,-3.59,0,0,1,96
95440,-8.04,3.88,-4.2,0,0,1,96
95460,-8.65,2.16,-4.47,0,0,1,96
95480,-9.4,0.09,-5.45,0,0,1,96
95500,-8.72,-1.03,-5.98,0,0,1,96
95520,-6.75,-0.61,-4.5,0,0,1,96
95540,-6.57,-0.28,-3.94,0,0,1,96
95560,-7.73,0.99,-4.51,0,0,1,96
95580,-8.26,2.27,-5.19,0,0,1,96
95600,-8.46,3.43,-5.45,0,0,1,96
95620,-8.21,3.59,-5.33,0,0,1,96
95640,-8.36,2.62,-5.78,0,0,1,96
95660,-8.42,1.64,-6.42,0,0,1,96
95680,-8.52,1.55,-6.37,0,0,1,96
95700,-8.31,1.73,-5.58,0,0,1,96
95720,-7.8,2.19,-4.78,0,0,1,96
95740,-7.81,2.54,-4.76,0,0,1,96
95760,-8.06,2.71,-5.35,0,0,1,96
95780,-8.32,2.66,-5.56,0,0,1,96
95800,-8.25,2.3,-5.22,0,0,1,96
95820,-7.96,2.02,-4.79,0,0,1,96
95840,-7.79,1.78,-4.15,0,0,1,96
95860,-7.71,1.45,-4.18,0,0,1,96
95880,-7.55,1.11,-5.0,0,0,1,96
95900,-7.98,0.98,-5.81,0,0,1,96
95920,-7.74,1.35,-6.24,0,0,1,96
95940,-7.65,1.82,-6.13,0,0,1,96
95960,-7.79,2.18,-5.68,0,0,1,96
95980,-7.56,2.48,-5.62,0,0,1,96
96000,-7.35,3.25,-5.72,0,0,1,96
96020,-7.4,3.6,-5.22,0,0,1,96
96040,-8.98,1.88,-4.42,0,0,1,96
96060,-8.71,1.17,-1.24,0,0,1,96
96080,-6.31,1.71,-1.5,0,0,1,96
96100,-6.54,0.65,-3.14,0,0,1,96
96120,-9.16,-1.36,-5.56,0,0,1,96
96140,-11.63,-1.91,-7.94,0,0,1,96
96160,-13.06,-0.22,-10.65,0,0,1,96
96180,-11.27,3.51,-7.98,0,0,1,96
96200,-8.17,4.41,-2.99,0,0,1,96
96220,-6.75,3.49,0.02,0,0,1,96
96240,-7.82,2.96,-1.21,0,0,1,96
96260,-10.21,3.87,-3.15,0,0,1,96
96280,-11.16,5.22,-5.02,0,0,1,96
96300,-10.61,4.25,-5.7,0,0,1,96
96320,-9.61,2.57,-5.3,0,0,1,96
96340,-8.4,1.2,-3.06,0,0,1,96
96360,-7.47,1.28,-1.77,0,0,1,96
96380,-8.5,1.24,-2.38,0,0,1,96
96400,-6.92,1.87,-3.38,0,0,1,96
96420,-7.59,0.29,-3.57,0,0,1,96
96440,-7.3,-0.06,-3.4,0,0,1,96
96460,-7.32,-0.38,-3.47,0,0,1,96
96480,-7.33,-0.0,-3.92,0,0,1,96
96500,-8.38,0.4,-5.02,0,0,1,96
96520,-9.4,0.83,-6.33,0,0,1,96
96540,-9.68,1.52,-6.49,0,0,1,96
96560,-9.16,2.87,-4.34,0,0,1,96
96580,-8.98,3.83,-2.75,0,0,1,96
96600,-9.89,4.03,-3.41,0,0,1,96
96620,-9.36,2.54,-4.34,0,0,1,96
96640,-8.79,0.72,-4.33,0,0,1,96
96660,-8.0,0.45,-3.64,0,0,1,96
96680,-7.47,1.01,-3.14,0,0,1,96
96700,-7.18,1.98,-3.68,0,0,1,96
96720,-8.26,2.91,-3.34,0,0,1,96
96740,-9.08,3.6,-3.1,0,0,1,96
96760,-9.73,3.71,-3.68,0,0,1,96
96780,-9.92,3.27,-4.83,0,0,1,96
96800,-9.52,2.45,-5.24,0,0,1,96
96820,-8.74,1.56,-4.08,0,0,1,96
96840,-7.96,1.41,-2.71,0,0,1,96
96860,-7.8,2.03,-2.01,0,0,1,96
96880,-8.17,2.56,-2.02,0,0,1,96
96900,-8.54,2.51,-2.44,0,0,1,96
96920,-8.08,2.09,-2.66,0,0,1,96
96940,-7.98,1.58,-2.68,0,0,1,96
96960,-7.73,1.43,-2.95,0,0,1,96
96980,-7.74,1.5,-3.26,0,0,1,96
