timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
1000,-8.28,-1.41,-4.76,0,0,1,2
1020,-8.13,-1.3,-4.71,0,0,1,2
1040,-8.22,-1.16,-4.97,0,0,1,2
1060,-8.42,-1.28,-5.16,0,0,1,2
1080,-8.33,-1.47,-5.24,0,0,1,2
1100,-8.15,-1.71,-5.13,0,0,1,2
1120,-8.0,-1.72,-5.12,0,0,1,2
1140,-8.17,-1.64,-5.27,0,0,1,2
1160,-8.12,-1.73,-5.26,0,0,1,2
1180,-8.06,-1.89,-5.21,0,0,1,2
1200,-7.94,-2.02,-5.24,0,0,1,2
1220,-7.79,-2.04,-5.38,0,0,1,2
1240,-7.78,-2.02,-5.49,0,0,1,2
1260,-7.96,-1.85,-5.59,0,0,1,2
1280,-7.8,-1.92,-5.55,0,0,1,2
1300,-7.95,-1.54,-5.56,0,0,1,2
1320,-7.81,-1.05,-5.46,0,0,1,2
1340,-7.63,-1.16,-5.7,0,0,1,2
1360,-7.67,-1.34,-6.16,0,0,1,2
1380,-7.86,-1.15,-6.49,0,0,1,2
1400,-7.84,-0.53,-6.53,0,0,1,2
1420,-7.89,-0.25,-6.56,0,0,1,2
1440,-7.99,-0.2,-6.56,0,0,1,2
1460,-7.97,-0.3,-6.38,0,0,1,2
1480,-8.02,-0.21,-6.13,0,0,1,2
1500,-8.01,0.22,-6.26,0,0,1,2
1520,-8.1,0.69,-6.33,0,0,1,2
1540,-8.15,0.75,-6.28,0,0,1,2
1560,-8.0,0.51,-6.16,0,0,1,2
1580,-7.69,0.11,-6.25,0,0,1,2
1600,-7.6,-0.59,-6.26,0,0,1,2
1620,-7.43,-0.87,-6.41,0,0,1,2
1640,-7.58,-0.85,-6.56,0,0,1,2
1660,-7.97,-0.72,-6.71,0,0,1,2
1680,-8.01,-0.15,-6.64,0,0,1,2
1700,-7.89,0.17,-6.43,0,0,1,2
1720,-7.67,0.12,-6.1,0,0,1,2
1740,-7.33,-0.17,-5.68,0,0,1,2
1760,-7.34,-0.68,-5.97,0,0,1,2
1780,-7.43,-0.81,-6.67,0,0,1,2
1800,-7.46,-0.88,-7.07,0,0,1,2
1820,-7.83,-1.56,-7.02,0,0,1,2
1840,-7.71,-1.7,-6.19,0,0,1,2
1860,-7.87,-1.44,-5.64,0,0,1,2
1880,-7.73,-1.08,-5.2,0,0,1,2
1900,-7.94,-1.58,-6.04,0,0,1,2
1920,-8.07,-1.77,-5.88,0,0,1,2
1940,-8.34,-1.87,-5.26,0,0,1,2
1960,-8.29,-1.58,-4.38,0,0,1,2
1980,-7.67,-0.19,-3.46,0,0,1,2
2000,-7.89,-0.2,-4.64,0,0,1,2
2020,-8.71,-0.84,-6.9,0,0,1,2
2040,-8.4,-0.85,-6.49,0,0,1,2
2060,-8.15,0.55,-4.51,0,0,1,2
2080,-8.84,1.67,-3.28,0,0,1,2
2100,-9.78,2.01,-4.03,0,0,1,2
2120,-11.06,1.74,-5.85,0,0,1,2
2140,-10.98,1.71,-7.23,0,0,1,2
2160,-10.27,1.77,-6.38,0,0,1,2
2180,-8.89,2.05,-4.02,0,0,1,2
2200,-8.47,2.01,-2.14,0,0,1,2
2220,-8.2,1.98,-2.42,0,0,1,2
2240,-9.07,1.32,-3.79,0,0,1,2
2260,-8.89,0.84,-4.2,0,0,1,2
2280,-7.77,0.51,-3.52,0,0,1,2
2300,-8.15,0.6,-2.46,0,0,1,2
2320,-8.29,0.68,-2.33,0,0,1,2
2340,-8.21,0.44,-3.1,0,0,1,2
2360,-8.18,0.1,-3.76,0,0,1,2
2380,-8.42,0.55,-3.88,0,0,1,2
2400,-8.43,1.55,-3.69,0,0,1,2
2420,-8.49,2.42,-3.64,0,0,1,2
2440,-8.81,2.88,-4.03,0,0,1,2
2460,-8.9,2.85,-4.32,0,0,1,2
2480,-8.7,2.24,-4.44,0,0,1,2
2500,-8.63,1.34,-4.52,0,0,1,2
2520,-8.81,0.56,-4.21,0,0,1,2
2540,-8.95,0.14,-3.99,0,0,1,2
2560,-8.65,0.5,-3.65,0,0,1,2
2580,-8.54,1.11,-3.61,0,0,1,2
2600,-8.65,1.77,-3.93,0,0,1,2
2620,-8.79,1.68,-4.54,0,0,1,2
2640,-9.01,1.31,-4.71,0,0,1,2
2660,-8.75,1.02,-4.49,0,0,1,2
2680,-8.35,0.72,-3.68,0,0,1,2
2700,-7.98,0.34,-3.26,0,0,1,2
2720,-8.35,0.01,-3.49,0,0,1,2
2740,-8.2,0.35,-3.83,0,0,1,2
2760,-8.57,0.77,-4.03,0,0,1,2
2780,-8.7,1.02,-4.12,0,0,1,2
2800,-8.39,1.34,-4.02,0,0,1,2
2820,-8.01,2.05,-3.83,0,0,1,2
2840,-8.3,2.68,-3.78,0,0,1,2
2860,-8.45,3.15,-4.47,0,0,1,2
2880,-8.75,3.01,-5.03,0,0,1,2
2900,-8.63,2.63,-5.24,0,0,1,2
2920,-6.93,2.81,-5.0,0,0,1,2
2940,-6.39,2.62,-4.07,0,0,1,2
2960,-12.97,-1.59,-5.07,0,0,1,2
2980,-14.73,-3.58,-12.0,0,0,1,2
