Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-9.82,2.07,-4.56, 0
-11.24,4.62,-5.78, 0
-12.06,4.03,-9.19, 0
-12.03,0.25,-11.75, 0
-10.51,-1.06,-10.28, 0
-8.26,-0.87,-6.30, 0
-6.21,-0.74,-2.70, 0
-5.24,-1.76,0.65, 0
-4.94,-3.10,1.31, 0
-6.31,-2.80,-1.98, 0
-9.93,-1.90,-4.90, 0
-11.82,1.26,-7.20, 0
-12.33,3.20,-7.55, 0
-10.47,3.27,-5.60, 0
-8.22,2.18,-3.02, 0
-7.07,0.82,-1.36, 0
-6.81,0.16,-2.43, 0
-8.12,0.11,-3.85, 0
-8.62,0.48,-4.31, 0
-8.36,0.50,-3.76, 0
-7.98,0.21,-3.08, 0
-7.54,0.44,-3.06, 0
-7.43,1.04,-3.22, 0
-7.38,1.70,-3.63, 0
-8.23,1.64,-3.83, 0
-8.98,1.56,-4.43, 0
-8.79,1.70,-4.89, 0
-8.46,1.68,-4.40, 0
-8.28,2.28,-3.53, 0
-7.95,3.32,-3.24, 0
-8.07,4.68,-3.34, 0
-8.26,5.52,-3.60, 0
-14.23,2.39,-3.38, 0
-12.48,1.06,-9.29, 0
-13.02,-3.33,-10.42, 0
-9.61,-5.38,-6.45, 0
-8.21,-2.40,-0.40, 0
-8.16,1.82,0.17, 0
-8.34,2.16,-3.31, 0
-8.64,-1.15,-6.48, 0
-7.95,-3.06,-7.29, 0
-7.56,-2.90,-6.07, 0
-7.46,-1.52,-4.04, 0
-7.22,-1.39,-3.25, 0
-7.24,-1.29,-3.42, 0
-7.56,-0.06,-4.10, 0
-8.53,1.22,-5.22, 0
-8.88,1.60,-6.22, 0
-8.99,1.54,-6.74, 0
-8.90,1.09,-6.19, 0
-7.87,0.99,-4.84, 0
-7.37,1.41,-4.11, 0
-7.44,2.04,-4.17, 0
-7.78,2.61,-4.79, 0
-7.83,3.12,-5.37, 0
-7.70,3.19,-5.06, 0
-7.30,2.73,-4.39, 0
-7.54,1.34,-4.79, 0
-8.58,-0.49,-5.46, 0
-9.20,-1.15,-5.51, 0
-8.55,-0.21,-5.02, 0
-8.41,0.86,-4.35, 0
-8.00,1.09,-4.43, 0
-9.32,0.37,-4.21, 0
-7.74,0.29,-2.81, 0
-7.73,2.42,-3.05, 0
-10.46,4.49,-5.13, 0
-12.58,2.28,-8.53, 0
-11.23,-1.74,-10.00, 0
-11.53,-2.26,-9.86, 0
-10.70,-0.49,-8.08, 0
-9.10,0.70,-6.01, 0
-6.68,1.58,-3.60, 0
-6.23,6.00,-1.51, 0
-6.36,7.39,3.59, 0
-4.27,-0.04,0.59, 0
-7.38,-3.37,-6.74, 0
-11.69,-0.39,-10.05, 0
-12.50,2.98,-8.43, 0
-10.28,4.24,-4.66, 0
-8.02,4.30,-1.19, 0
-6.27,3.07,-0.36, 0
-6.86,1.75,-2.87, 0
-7.91,1.49,-3.94, 0
-8.01,1.71,-3.94, 0
-7.34,2.01,-2.50, 0
-6.53,2.69,-1.53, 0
-6.89,3.27,-2.35, 0
-7.53,3.30,-3.92, 0
-7.81,3.28,-4.57, 0
-7.80,3.34,-4.55, 0
-8.13,3.05,-4.13, 0
-8.55,3.61,-3.91, 0
-8.42,4.83,-3.74, 0
-7.78,5.66,-3.65, 0
-9.06,5.70,-3.38, 0
-12.72,4.89,-7.95, 0
-14.52,0.86,-11.77, 0
-11.37,-1.96,-7.82, 0
-8.16,-2.88,0.16, 0
-6.21,-0.44,1.10, 0
-6.52,2.63,-1.65, 0
-7.98,2.70,-5.04, 0
-8.92,1.14,-7.35, 0
-9.02,0.25,-7.55, 0
-8.43,0.58,-6.70, 0
-7.41,0.55,-4.29, 0
-6.86,-0.08,-2.40, 0
-6.48,1.47,-2.71, 0
-7.36,2.80,-4.96, 0
-8.22,3.06,-6.43, 0
-9.03,2.24,-7.03, 0
-9.06,1.12,-6.60, 0
-8.12,0.24,-5.32, 0
-7.53,0.57,-4.31, 0
-7.56,1.89,-4.12, 0
-7.90,2.96,-4.89, 0
-8.03,3.50,-5.66, 0
-7.86,3.57,-5.65, 0
-7.40,3.41,-5.06, 0
-7.11,3.06,-4.42, 0
-6.94,2.59,-4.39, 0
-7.12,2.08,-4.51, 0
-7.59,1.90,-4.82, 0
-8.87,2.02,-4.82, 0
-8.02,2.88,-4.90, 0
-8.32,3.32,-4.42, 0
-8.02,2.02,-5.26, 0
-7.63,1.54,-3.76, 0
-7.08,1.83,-4.01, 0
-8.86,4.12,-5.45, 0
-11.13,6.77,-6.56, 0
-11.60,5.99,-9.32, 0
-11.69,2.39,-11.38, 0
-10.19,0.46,-9.29, 0
-7.52,-0.19,-4.77, 0
-5.45,-1.34,-0.45, 0
-3.51,-2.54,2.62, 0
-4.28,-2.78,0.68, 0
-7.22,-1.79,-3.11, 0
-10.08,1.56,-6.25, 0
-12.24,5.15,-8.27, 0
-12.84,5.94,-8.84, 0
-10.05,4.66,-5.79, 0
-6.98,3.28,-1.44, 0
-5.74,1.77,0.14, 0
-7.44,1.15,-2.44, 0
-8.70,1.35,-4.87, 0
-9.73,1.84,-5.91, 0
-9.28,2.17,-5.01, 0
-7.71,2.84,-3.27, 0
-6.09,2.97,-2.40, 0
-5.96,3.22,-3.54, 0
-7.36,3.81,-4.54, 0
-7.38,4.36,-3.96, 0
-6.11,4.38,-3.97, 0
-6.64,3.62,-4.06, 0
-7.03,3.56,-4.55, 0
-8.26,4.23,-4.71, 0
-11.11,4.02,-7.90, 0
-12.29,1.93,-10.47, 0
-13.41,-0.69,-9.16, 0
-9.42,-0.70,-4.76, 0
-6.50,0.89,-1.00, 0
-8.19,3.05,-1.89, 0
-9.00,2.48,-4.41, 0
-8.73,0.75,-6.02, 0
-7.92,-1.19,-6.24, 0
-6.56,-0.77,-5.30, 0
-6.37,0.57,-4.74, 0
-7.69,1.91,-5.25, 0
-8.31,2.55,-6.21, 0
-7.78,2.05,-6.26, 0
-7.29,1.33,-6.26, 0
-6.88,0.46,-6.15, 0
-6.92,0.46,-6.51, 0
-7.07,0.78,-7.20, 0
-7.03,1.08,-7.22, 0
-6.95,0.77,-7.00, 0
-7.43,0.94,-6.95, 0
-8.01,1.35,-6.91, 0
-8.17,1.82,-6.58, 0
-7.17,1.83,-6.45, 0
-7.78,1.77,-5.69, 0
-7.76,-0.14,-5.46, 0
-8.79,-0.67,-3.99, 0
-9.69,-2.10,-5.36, 0
-8.92,-1.08,-6.23, 0
-9.37,-0.41,-7.50, 0
-9.62,0.54,-7.66, 0
-9.73,-0.54,-6.70, 0
-9.33,-1.38,-2.99, 0
-7.35,-0.64,0.30, 0
-7.32,-0.69,-1.40, 0
-8.73,-1.61,-3.15, 0
-10.65,-0.19,-1.72, 0
-8.78,0.84,-0.90, 0
-10.45,-0.29,-2.96, 0
-9.74,-0.89,-2.36, 0
-10.21,-4.10,-2.82, 0
-9.22,-3.23,-2.62, 0
-9.19,-3.02,-3.02, 0
-9.44,-1.61,-3.62, 0
-9.13,-0.81,-4.08, 0
-8.79,-0.25,-3.94, 0
-10.25,-1.04,-4.19, 0
-10.18,-1.36,-4.09, 0
-9.15,-1.44,-4.33, 0
-9.52,-1.62,-5.18, 0
-8.99,-1.64,-5.83, 0
-9.90,-1.78,-7.36, 0
-8.84,-1.26,-8.37, 0
-7.19,0.14,-6.54, 0
-4.97,1.02,-4.08, 0
-5.59,1.32,-3.92, 0
-7.72,0.76,-5.97, 0
-8.89,-0.77,-7.31, 0
-9.55,-2.14,-7.76, 0
-9.00,-2.55,-7.71, 0
-9.16,-0.22,-6.78, 0
-10.41,4.92,-4.40, 0
-9.92,7.99,-4.08, 0
-6.70,6.01,-5.85, 0
-5.89,2.65,-4.66, 0
-4.43,2.47,-1.30, 0
-6.92,4.26,-2.93, 0
-9.69,5.38,-4.30, 0
-8.90,4.91,-3.34, 0
-8.09,4.46,-1.72, 0
-7.14,4.97,-2.13, 0
-7.97,5.73,-3.02, 0
-8.58,5.30,-3.23, 0
-7.76,4.14,-1.78, 0
-7.71,2.44,-0.22, 0
-8.66,1.13,0.04, 0
-9.55,0.82,-1.68, 0
-9.45,1.17,-2.97, 0
-8.91,2.28,-2.62, 0
