Accel_X,Accel_Y,Accel_Z,Fall_Indicator
-8.42,-0.45,-3.88, 0
-8.43,0.08,-4.09, 0
-8.49,0.32,-5.02, 0
-8.94,0.18,-5.06, 0
-8.57,-0.09,-4.49, 0
-8.12,-0.09,-3.66, 0
-7.95,0.24,-3.08, 0
-8.17,0.71,-3.13, 0
-8.69,0.97,-3.72, 0
-8.09,0.91,-5.43, 0
-9.63,1.21,-4.60, 0
-10.24,0.98,-4.70, 0
-9.49,0.46,-4.71, 0
-9.19,0.60,-3.82, 0
-8.90,1.03,-3.69, 0
-8.55,1.20,-3.68, 0
-8.92,0.94,-3.84, 0
-8.83,0.54,-4.10, 0
-8.42,0.30,-4.01, 0
-8.47,0.06,-3.86, 0
-8.78,0.29,-3.91, 0
-8.90,0.58,-3.76, 0
-8.95,0.36,-3.85, 0
-8.96,0.50,-3.82, 0
-8.65,0.33,-3.74, 0
-8.58,0.31,-3.58, 0
-8.61,0.49,-3.58, 0
-8.82,0.49,-3.71, 0
-8.85,0.31,-3.62, 0
-8.57,0.28,-3.56, 0
-8.48,0.40,-3.40, 0
-8.95,0.54,-3.79, 0
-9.11,0.56,-4.57, 0
-9.80,0.18,-5.25, 0
-10.72,-0.38,-5.79, 0
-10.20,-0.22,-5.20, 0
-8.14,0.34,-3.47, 0
-7.40,0.84,-2.21, 0
-8.16,1.20,-2.99, 0
-9.09,1.15,-4.84, 0
-9.90,0.54,-4.98, 0
-9.82,-0.26,-5.05, 0
-9.51,-0.13,-5.06, 0
-9.11,0.10,-4.87, 0
-9.07,0.22,-4.52, 0
-8.79,0.37,-4.39, 0
-8.25,0.23,-4.23, 0
-7.85,0.38,-4.30, 0
-7.88,0.40,-4.66, 0
-7.91,0.05,-5.31, 0
-7.64,-0.11,-5.50, 0
-7.82,-0.48,-5.37, 0
-8.17,-0.72,-4.95, 0
-8.36,-0.74,-5.00, 0
-8.38,-0.17,-5.14, 0
-8.24,0.70,-5.69, 0
-8.53,1.02,-6.32, 0
-8.49,1.16,-5.94, 0
-8.15,0.96,-5.32, 0
-7.60,0.74,-4.82, 0
-7.77,0.55,-4.87, 0
-7.59,1.25,-5.08, 0
-7.93,1.73,-5.31, 0
-8.93,2.02,-5.08, 0
-8.79,2.14,-5.35, 0
-8.53,1.76,-5.30, 0
-8.54,1.28,-5.02, 0
-8.60,1.03,-5.17, 0
-8.55,1.55,-5.35, 0
-8.78,1.29,-5.68, 0
-8.52,0.90,-5.25, 0
-8.50,0.81,-4.81, 0
-8.70,0.79,-5.09, 0
-8.66,0.72,-4.89, 0
-8.42,1.09,-4.72, 0
-8.35,0.91,-5.87, 1
-8.60,1.27,-5.69, 1
-10.42,1.57,-4.88, 1
-8.31,1.96,-5.10, 1
-7.69,1.58,-3.57, 1
-7.51,1.20,-3.14, 1
-8.11,0.33,-4.79, 1
-9.16,0.35,-5.90, 0
-8.67,-0.55,-6.36, 0
-8.65,0.20,-5.58, 0
-6.47,0.49,-4.58, 0
-5.85,0.51,-4.05, 0
-7.39,0.80,-4.03, 0
-7.28,0.19,-4.56, 0
-6.37,0.08,-2.43, 0
-4.41,-0.71,-0.67, 0
-4.38,-1.36,-0.75, 0
-5.81,-1.75,-2.93, 0
-8.22,-1.88,-4.50, 0
-5.57,-1.86,-3.17, 0
-5.81,-1.59,-2.75, 0
-5.35,-2.36,-3.38, 0
-5.39,-2.15,-2.95, 0
-6.35,-2.88,-2.73, 0
-10.28,-2.85,-0.31, 0
-5.65,-1.24,-2.35, 0
-4.87,0.32,-1.94, 0
-5.69,0.72,-2.89, 0
-7.24,0.04,-2.61, 0
-8.30,-2.31,-1.12, 0
-9.56,-3.88,0.58, 0
-11.94,-4.25,-1.15, 0
-12.81,-5.21,-4.99, 0
-13.90,-6.12,-4.52, 0
-14.32,-5.24,-8.80, 0
-8.97,4.74,1.89, 0
-11.89,10.94,6.08, 0
-9.76,6.26,14.78, 0
-12.27,4.65,19.14, 0
-3.77,15.85,19.62, 0
-1.69,7.32,19.62, 0
-1.26,-0.11,19.62, 0
1.29,-1.04,19.62, 0
-0.13,-1.41,19.62, 0
2.00,-3.30,19.37, 0
0.45,-7.15,12.77, 0
2.15,-5.70,11.36, 0
3.38,-3.56,9.81, 0
2.12,-2.50,8.25, 0
-0.60,-3.00,6.64, 0
1.19,-2.17,3.84, 0
2.93,-0.33,4.23, 0
1.18,0.48,3.30, 0
0.80,-0.68,2.30, 0
1.31,-2.45,1.09, 0
2.99,-5.08,3.74, 0
-0.31,-1.97,2.98, 0
-0.76,0.86,6.09, 0
-0.81,0.38,6.65, 0
0.26,-1.89,7.71, 0
-1.51,-3.06,7.15, 0
-3.27,-0.57,8.54, 0
-4.58,0.71,10.16, 0
-4.95,0.38,11.88, 0
-6.77,2.09,12.17, 0
-7.76,2.92,11.36, 0
-9.36,3.30,10.85, 0
-10.68,4.97,12.26, 0
-10.57,5.45,10.98, 0
-13.14,5.88,8.98, 0
-12.28,5.36,7.48, 0
-8.91,1.10,7.61, 0
-9.79,0.19,6.88, 0
-9.71,-0.32,4.56, 0
-8.16,0.40,3.22, 0
-7.22,0.49,4.33, 0
-5.93,0.49,5.41, 0
-5.49,0.05,5.25, 0
-5.38,0.21,4.81, 0
-4.82,-0.68,4.19, 0
-3.97,-0.91,5.45, 0
-4.08,-0.41,5.58, 0
-5.34,-0.17,4.99, 0
-5.90,-0.60,5.34, 0
-5.79,-0.91,6.02, 0
-6.11,-1.38,6.65, 0
-5.27,-2.20,7.01, 0
-5.69,-2.85,8.37, 0
-5.39,-1.51,10.19, 0
-5.67,-1.15,9.82, 0
-6.27,-1.84,8.45, 0
-5.23,-1.51,9.27, 0
-5.63,-1.77,9.34, 0
-5.42,-0.74,7.94, 0
-5.50,-0.80,8.21, 0
-5.03,-1.52,8.43, 0
-4.89,-1.50,8.33, 0
-4.51,-0.96,7.75, 0
-4.35,-0.30,8.00, 0
-4.19,-0.05,8.71, 0
-5.33,-0.02,6.34, 0
-5.55,-0.23,4.92, 0
-4.91,-0.81,5.88, 0
-4.67,-0.62,7.09, 0
-6.06,0.08,9.35, 0
-4.81,-0.36,7.35, 0
-5.63,0.05,7.97, 0
-5.77,-0.08,7.02, 0
-5.73,-0.03,6.92, 0
-5.81,-0.12,7.70, 0
-5.53,0.27,7.40, 0
-5.66,0.74,7.81, 0
-5.80,1.50,8.61, 0
-6.24,0.94,7.85, 0
-6.14,0.41,6.71, 0
-5.48,1.57,7.51, 0
-5.03,2.62,8.26, 0
-5.73,2.60,7.56, 0
-5.39,2.56,6.21, 0
-5.58,3.93,7.26, 0
-4.95,4.32,8.07, 0
-5.43,3.62,6.89, 0
-4.55,3.50,6.67, 0
-6.27,4.35,6.83, 0
-4.85,5.16,7.02, 0
-5.03,5.14,6.76, 0
-5.58,5.46,6.42, 0
-5.65,5.49,6.24, 0
-5.51,4.79,5.65, 0
-5.55,4.39,5.70, 0
-5.98,4.81,5.66, 0
-6.36,5.50,5.12, 0
-6.50,5.31,5.34, 0
-6.22,5.26,5.33, 0
-6.19,5.24,4.73, 0
-6.56,5.25,4.74, 0
-6.05,5.69,5.23, 0
-6.48,6.94,4.29, 0
-6.58,7.12,4.19, 0
-6.50,6.58,4.70, 0
-6.26,6.42,4.41, 0
-6.15,6.86,3.91, 0
-6.72,7.00,3.75, 0
-6.69,7.10,4.42, 0
-6.46,7.22,3.90, 0
-7.25,6.95,3.66, 0
-6.90,7.28,4.13, 0
-7.25,7.11,3.95, 0
-7.55,6.29,2.81, 0
-8.20,6.12,2.76, 0
-7.79,5.53,2.44, 0
-8.25,4.96,2.96, 0
-8.60,5.22,2.81, 0
-9.10,5.23,1.47, 0
-9.15,5.11,2.39, 0
-9.52,4.27,1.96, 0
-9.54,3.16,1.16, 0
-8.76,2.88,1.18, 0
-9.30,3.65,0.84, 0
-9.59,2.94,-0.52, 0
-8.70,2.24,0.46, 0
-7.87,3.08,1.79, 0
-8.76,3.59,1.62, 0
-8.87,2.95,1.87, 0
-9.12,2.32,1.63, 0
-9.46,2.31,1.68, 0
-9.79,2.83,2.74, 0
-9.97,3.94,3.08, 0
-9.86,3.46,3.14, 0
-10.63,1.77,3.48, 0
-8.46,2.48,2.37, 0
-10.44,2.46,3.05, 0
-10.03,1.41,1.76, 0
-10.68,0.72,-0.19, 0
-10.37,1.52,0.83, 0
-10.10,1.68,0.45, 0
-9.63,1.10,0.12, 0
-9.51,0.86,1.31, 0
-9.89,1.16,1.23, 0
-9.53,0.23,0.21, 0
-9.73,0.12,0.12, 0
-9.74,1.16,0.74, 0
-9.97,0.57,0.67, 0
-9.58,-0.02,0.10, 0
-9.21,-0.26,0.34, 0
-9.53,-0.44,1.29, 0
-9.80,0.34,0.99, 0
-9.87,-0.29,0.35, 0
-9.80,-0.10,1.06, 0
-9.81,0.06,1.52, 0
-10.16,0.52,1.85, 0
-10.02,0.56,1.88, 0
-10.30,0.51,1.63, 0
-10.26,0.57,2.20, 0
-10.60,0.84,2.51, 0
-10.69,0.62,2.05, 0
-10.03,0.47,2.01, 0
-9.44,0.01,1.82, 0
-8.77,-1.57,0.38, 0
-9.40,-2.40,-0.36, 0
-10.74,-3.79,-0.01, 0
-8.22,-4.00,1.02, 0
-7.34,-3.99,1.52, 0
-7.12,-3.71,1.98, 0
-6.21,-3.08,2.11, 0
-6.07,-2.76,2.22, 0
-5.44,-2.23,2.22, 0
-4.67,-3.05,2.50, 0
-4.27,-3.07,3.33, 0
-4.84,-3.08,2.43, 0
-6.01,-2.68,2.12, 0
-6.30,-2.00,2.58, 0
-6.67,-1.11,1.63, 0
-7.81,-0.59,0.88, 0
-7.79,-0.80,1.91, 0
-7.75,-1.34,3.02, 0
-7.93,-1.89,2.84, 0
-8.78,-1.25,2.44, 0
-9.82,-0.45,1.80, 0
-10.86,0.47,1.81, 0
-10.53,0.46,1.74, 0
-9.67,0.22,1.52, 0
-9.96,0.59,1.06, 0
-10.73,0.80,0.49, 0
-10.13,1.18,0.78, 0
-9.85,1.09,0.07, 0
-9.67,0.10,-1.17, 0
-12.84,-1.15,-3.14, 0
-14.40,-4.38,-6.50, 0
-13.68,-4.82,-7.19, 0
-11.67,-1.95,-4.92, 0
-11.06,0.91,-3.00, 0
-12.73,1.54,-4.82, 0
-12.49,-0.78,-7.06, 0
-11.80,-2.58,-7.72, 0
-11.26,-2.71,-6.39, 0
-9.08,-1.24,-3.43, 0
-8.11,-0.22,-2.91, 0
-8.15,0.10,-3.91, 0
-9.10,1.20,-5.29, 0
-9.47,2.03,-5.25, 0
-8.89,1.75,-4.68, 0
-8.03,1.00,-4.37, 0
-7.92,1.39,-3.58, 0
-8.38,-0.06,-6.13, 0
-8.03,-0.01,-6.14, 0
-8.13,0.49,-5.84, 0
-8.19,0.87,-5.64, 0
-7.66,0.75,-5.24, 0
-7.55,0.34,-5.22, 0
-8.00,0.70,-6.43, 0
-8.28,1.15,-7.20, 0
-7.89,1.16,-6.79, 0
-6.79,-0.11,-6.13, 0
-6.74,-0.10,-5.27, 0
-7.01,1.18,-5.41, 0
-8.56,1.41,-6.19, 0
-7.33,2.00,-5.69, 0
-6.85,1.23,-4.14, 0
-6.26,1.08,-3.45, 0
-5.99,1.18,-4.25, 0
-6.83,1.28,-4.75, 0
-6.41,0.85,-5.62, 0
-6.63,0.10,-4.73, 0
-5.91,0.29,-4.75, 0
-6.97,-0.11,-5.14, 0
-7.77,0.59,-5.64, 0
-7.94,0.78,-5.13, 0
-8.64,0.85,-4.51, 0
-8.42,1.56,-3.86, 0
-8.78,0.44,-3.11, 0
-8.78,0.06,-2.08, 0
-8.99,2.13,-1.92, 0
-10.25,4.03,-2.42, 0
-11.39,4.14,-2.73, 0
-10.89,3.37,-2.82, 0
-9.41,2.36,-3.44, 0
-8.82,2.01,-1.84, 0
-8.98,3.42,-1.43, 0
-8.90,4.97,-1.39, 0
-9.49,4.93,-1.50, 0
-8.40,4.55,-1.88, 0
-7.89,3.77,-1.70, 0
-8.21,3.48,-1.74, 0
-8.87,4.55,-1.19, 0
-8.91,3.49,-0.25, 0
-7.60,4.34,-0.56, 0
-7.30,3.28,-0.85, 0
-6.19,2.73,-1.01, 0
-7.34,2.08,-0.86, 0
-7.86,4.62,-0.81, 0
-10.35,1.77,-2.79, 0
-10.46,-1.22,-3.49, 0
-9.77,-0.06,-3.71, 0
-10.89,-1.09,-4.58, 0
-10.93,-1.31,-4.60, 0
-9.41,0.36,-3.50, 0
-8.53,3.25,-2.47, 0
-8.83,3.60,-1.41, 0
-8.59,5.30,-2.40, 0
-8.64,5.00,-4.19, 0
-9.56,5.82,-5.75, 0
-9.78,4.73,-6.14, 0
-9.07,2.22,-4.85, 0
-7.35,0.93,-3.60, 0
-7.23,1.95,-2.40, 0
-8.10,3.52,-3.02, 0
-8.28,2.79,-3.89, 0
-8.52,2.89,-4.33, 0
-8.67,3.94,-4.80, 0
-7.93,3.88,-4.51, 0
-8.41,3.71,-4.46, 0
-8.36,3.79,-3.84, 0
-8.37,4.40,-4.51, 0
-7.53,4.46,-3.95, 0
-7.09,3.63,-4.18, 0
-8.64,1.92,-5.50, 0
-7.98,2.42,-5.50, 0
-8.06,2.82,-4.80, 0
-7.88,2.85,-3.82, 0
-7.87,2.94,-3.85, 0
-7.76,2.60,-5.10, 0
-7.90,2.66,-5.56, 0
-8.03,2.65,-5.64, 0
-7.56,2.88,-5.53, 0
-7.78,2.26,-5.12, 0
-8.67,1.04,-5.89, 0
-7.76,1.73,-5.51, 0
-8.42,1.80,-4.20, 0
-8.50,1.24,-3.73, 0
-8.65,1.40,-3.74, 0
-9.32,2.10,-4.13, 0
-9.30,1.88,-4.63, 0
-8.31,2.01,-4.07, 0
-7.32,3.31,-3.42, 0
-6.93,5.44,-1.49, 0
-8.87,5.76,-2.41, 0
-10.57,6.34,-4.19, 0
-11.29,6.39,-5.71, 0
-10.89,6.16,-7.04, 0
-9.50,5.52,-6.89, 0
-8.43,4.38,-5.29, 0
-7.18,3.47,-2.59, 0
-7.36,3.28,-0.90, 0
-8.84,2.89,-2.21, 0
-9.00,2.87,-4.12, 0
-7.05,2.30,-4.68, 0
-7.38,3.18,-3.50, 0
-7.03,4.49,-1.57, 0
-7.29,5.17,-1.68, 0
-8.02,4.96,-3.52, 0
-9.02,3.75,-4.00, 0
-8.72,3.38,-3.06, 0
-8.13,3.78,-2.44, 0
-7.95,3.78,-2.43, 0
-7.87,4.18,-2.76, 0
-8.55,4.32,-3.39, 0
-8.53,3.84,-3.26, 0
-8.20,3.74,-3.29, 0
-8.21,3.66,-3.38, 0
-8.10,3.59,-3.33, 0
-7.98,3.09,-3.27, 0
-7.78,2.68,-3.13, 0
