timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
54000,-8.32,-3.77,-1.66,0,0,1,55
54020,-8.44,-3.56,-1.61,0,0,1,55
54040,-8.54,-3.54,-1.72,0,0,1,55
54060,-8.61,-3.73,-1.71,0,0,1,55
54080,-9.03,-3.92,-1.63,0,0,1,55
54100,-9.19,-3.96,-1.94,0,0,1,55
54120,-9.27,-4.22,-2.08,0,0,1,55
54140,-9.27,-4.28,-1.98,0,0,1,55
54160,-8.66,-3.99,-2.04,0,0,1,55
54180,-7.92,-4.16,-2.54,0,0,1,55
54200,-7.32,-4.57,-2.81,0,0,1,55
54220,-7.01,-4.43,-2.89,0,0,1,55
54240,-6.75,-4.39,-3.01,0,0,1,55
54260,-6.97,-4.56,-3.2,0,0,1,55
54280,-7.81,-4.33,-3.04,0,0,1,55
54300,-8.94,-3.76,-2.96,0,0,1,55
54320,-8.9,-3.17,-3.63,0,0,1,55
54340,-8.69,-3.21,-3.46,0,0,1,55
54360,-8.0,-2.67,-2.52,0,0,1,55
54380,-7.43,-2.43,-1.37,0,0,1,55
54400,-7.46,-3.18,-1.25,0,0,1,55
54420,-7.3,-4.23,-1.86,0,0,1,55
54440,-7.25,-4.19,-1.93,0,0,1,55
54460,-7.78,-3.47,-1.78,0,0,1,55
54480,-8.25,-2.49,-1.66,0,0,1,55
54500,-8.15,-2.77,-1.89,0,0,1,55
54520,-7.47,-3.08,-1.55,0,0,1,55
54540,-7.04,-3.43,-1.0,0,0,1,55
54560,-7.15,-3.56,-0.68,0,0,1,55
54580,-7.41,-3.84,-1.36,0,0,1,55
54600,-8.09,-4.41,-1.79,0,0,1,55
54620,-8.21,-4.52,-1.6,0,0,1,55
54640,-8.8,-4.22,-1.58,0,0,1,55
54660,-8.56,-3.69,-1.86,0,0,1,55
54680,-8.56,-3.29,-1.92,0,0,1,55
54700,-8.42,-3.76,-1.73,0,0,1,55
54720,-8.89,-3.63,-1.09,0,0,1,55
54740,-9.12,-2.57,-1.4,0,0,1,55
54760,-9.13,-2.51,-1.74,0,0,1,55
54780,-9.06,-2.39,-2.1,0,0,1,55
54800,-8.96,-2.19,-1.74,0,0,1,55
54820,-8.94,-1.71,-1.07,0,0,1,55
54840,-9.31,-1.43,-1.31,0,0,1,55
54860,-9.73,-1.73,-2.25,0,0,1,55
54880,-9.78,-1.72,-2.36,0,0,1,55
54900,-9.61,-1.52,-1.66,0,0,1,55
54920,-9.63,-1.32,-1.06,0,0,1,55
54940,-9.75,-1.13,-0.92,0,0,1,55
54960,-10.24,-0.84,-1.04,0,0,1,55
54980,-10.82,-0.28,-1.25,0,0,1,55
55000,-10.56,0.24,-0.97,0,0,1,55
55020,-10.54,0.09,-0.26,0,0,1,55
55040,-10.34,-0.26,-0.32,0,0,1,55
55060,-10.68,-0.54,-0.91,0,0,1,55
55080,-10.82,-0.5,-1.08,0,0,1,55
55100,-10.36,-0.48,-0.53,0,0,1,55
55120,-10.01,-0.52,0.04,0,0,1,55
55140,-9.84,-0.48,-0.07,0,0,1,55
55160,-10.2,-0.32,-0.32,0,0,1,55
55180,-10.31,-0.01,-0.8,0,0,1,55
55200,-10.15,-0.34,-0.57,0,0,1,55
55220,-9.97,-0.86,0.01,0,0,1,55
55240,-10.16,-1.26,-0.45,0,0,1,55
55260,-10.67,-0.89,-1.29,0,0,1,55
55280,-10.25,-0.09,-0.85,0,0,1,55
55300,-9.53,0.15,0.09,0,0,1,55
55320,-9.26,-0.17,0.46,0,0,1,55
55340,-9.56,-0.32,-0.32,0,0,1,55
55360,-10.23,-0.0,-0.95,0,0,1,55
55380,-10.03,0.57,-0.81,0,0,1,55
55400,-10.84,-0.41,0.56,0,0,1,55
55420,-12.06,-0.04,0.31,0,0,1,55
55440,-11.97,0.9,-0.59,0,0,1,55
55460,-10.38,1.01,-1.43,0,0,1,55
55480,-8.61,0.15,-0.51,0,0,1,55
55500,-8.17,0.05,-0.21,0,0,1,55
55520,-8.97,0.65,0.02,0,0,1,55
55540,-9.39,0.53,0.06,0,0,1,55
55560,-9.94,-0.21,-0.3,0,0,1,55
55580,-10.52,-0.93,-1.34,0,0,1,55
55600,-9.9,-0.41,-1.5,0,0,1,55
55620,-9.82,0.51,-0.11,0,0,1,55
55640,-10.01,0.61,-0.0,0,0,1,55
55660,-10.29,-0.22,-0.55,0,0,1,55
55680,-9.63,-1.2,-0.21,0,0,1,55
55700,-8.66,-2.24,0.15,0,0,1,55
55720,-8.36,-3.0,0.87,0,0,1,55
55740,-8.3,-2.73,0.64,0,0,1,55
55760,-8.71,-1.07,0.21,0,0,1,55
55780,-9.36,0.8,0.1,0,0,1,55
55800,-10.12,1.4,0.36,0,0,1,55
55820,-10.32,0.86,0.34,0,0,1,55
55840,-10.15,-0.19,-0.04,0,0,1,55
55860,-9.41,-0.62,0.3,0,0,1,55
55880,-8.62,-0.44,1.03,0,0,1,55
55900,-8.62,-0.34,1.11,0,0,1,55
55920,-9.19,-0.39,0.37,0,0,1,55
55940,-9.67,-0.46,-0.1,0,0,1,55
55960,-9.89,-0.32,-0.25,0,0,1,55
55980,-9.93,0.04,-0.12,0,0,1,55
