timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
70000,-4.1,-5.92,1.44,0,0,1,71
70020,-2.82,-2.22,1.53,0,0,1,71
70040,-7.21,2.85,-1.31,0,0,1,71
70060,-12.3,4.92,-4.18,0,0,1,71
70080,-12.72,4.69,-7.93,0,0,1,71
70100,-11.4,4.21,-9.35,0,0,1,71
70120,-9.58,3.62,-6.17,0,0,1,71
70140,-6.64,1.49,-0.14,0,0,1,71
70160,-5.0,0.56,-0.3,0,0,1,71
70180,-6.34,0.38,-2.6,0,0,1,71
70200,-7.38,1.48,-4.42,0,0,1,71
70220,-7.7,2.86,-4.26,0,0,1,71
70240,-7.89,3.4,-2.88,0,0,1,71
70260,-5.81,3.95,-1.63,0,0,1,71
70280,-5.52,3.22,-1.91,0,0,1,71
70300,-6.84,3.45,-3.59,0,0,1,71
70320,-8.5,3.4,-4.46,0,0,1,71
70340,-8.92,3.91,-4.49,0,0,1,71
70360,-8.25,4.78,-4.5,0,0,1,71
70380,-7.68,6.06,-4.36,0,0,1,71
70400,-7.59,6.8,-3.03,0,0,1,71
70420,-15.91,3.43,-1.67,0,0,1,71
70440,-17.87,2.3,-10.47,0,0,1,71
70460,-15.95,-0.28,-15.54,0,0,1,71
70480,-9.59,-0.11,-4.91,0,0,1,71
70500,-5.79,0.9,1.99,0,0,1,71
70520,-7.29,2.93,-0.12,0,0,1,71
70540,-7.85,2.22,-4.59,0,0,1,71
70560,-7.08,0.1,-7.17,0,0,1,71
70580,-6.96,-2.43,-6.35,0,0,1,71
70600,-7.75,-3.33,-3.92,0,0,1,71
70620,-6.68,-1.22,-3.08,0,0,1,71
70640,-7.38,1.16,-2.68,0,0,1,71
70660,-7.69,2.44,-4.21,0,0,1,71
70680,-8.52,2.58,-6.62,0,0,1,71
70700,-9.56,2.64,-8.33,0,0,1,71
70720,-8.6,2.35,-7.38,0,0,1,71
70740,-7.59,1.36,-5.14,0,0,1,71
70760,-6.85,0.65,-3.64,0,0,1,71
70780,-6.42,0.74,-3.22,0,0,1,71
70800,-6.89,0.99,-4.29,0,0,1,71
70820,-7.76,1.47,-5.71,0,0,1,71
70840,-7.99,2.46,-5.8,0,0,1,71
70860,-7.73,3.35,-5.14,0,0,1,71
70880,-7.26,3.64,-4.6,0,0,1,71
70900,-8.34,2.74,-4.51,0,0,1,71
70920,-8.18,2.09,-4.39,0,0,1,71
70940,-7.66,1.62,-5.1,0,0,1,71
70960,-8.14,1.67,-5.3,0,0,1,71
70980,-8.28,2.6,-5.64,0,0,1,71
71000,-8.65,2.92,-6.55,0,0,1,71
71020,-8.01,1.33,-7.71,0,0,1,71
71040,-12.11,1.04,-5.29,0,0,1,71
71060,-9.82,3.35,-3.92,0,0,1,71
71080,-11.24,3.79,-4.69,0,0,1,71
71100,-11.18,2.63,-6.71,0,0,1,71
71120,-10.05,0.45,-7.08,0,0,1,71
71140,-8.8,-3.25,-5.38,0,0,1,71
71160,-6.37,-6.99,-1.3,0,0,1,71
71180,-3.25,-6.55,-0.07,0,0,1,71
71200,-5.85,-1.57,-1.66,0,0,1,71
71220,-10.48,6.39,-3.56,0,0,1,71
71240,-14.22,10.18,-5.09,0,0,1,71
71260,-13.26,8.06,-10.22,0,0,1,71
71280,-11.62,4.56,-10.5,0,0,1,71
71300,-8.21,1.98,-6.12,0,0,1,71
71320,-5.57,-0.73,0.85,0,0,1,71
71340,-4.2,-1.07,0.24,0,0,1,71
71360,-6.07,1.4,-1.86,0,0,1,71
71380,-6.52,3.62,-4.14,0,0,1,71
71400,-6.47,4.39,-4.25,0,0,1,71
71420,-5.9,4.01,-3.16,0,0,1,71
71440,-6.32,3.06,-2.25,0,0,1,71
71460,-7.57,1.18,-3.74,0,0,1,71
71480,-6.7,-0.19,-5.46,0,0,1,71
71500,-7.32,0.24,-5.13,0,0,1,71
71520,-9.68,1.48,-4.5,0,0,1,71
71540,-9.47,3.55,-7.64,0,0,1,71
71560,-15.95,2.31,-10.06,0,0,1,71
71580,-14.34,2.32,-12.17,0,0,1,71
71600,-9.52,1.78,-4.62,0,0,1,71
71620,-6.41,2.82,1.42,0,0,1,71
71640,-6.66,3.25,-0.59,0,0,1,71
71660,-7.29,0.57,-5.0,0,0,1,71
71680,-7.51,-3.43,-7.24,0,0,1,71
71700,-7.77,-5.53,-6.73,0,0,1,71
71720,-7.41,-3.11,-5.36,0,0,1,71
71740,-7.13,1.7,-4.63,0,0,1,71
71760,-7.4,4.33,-4.57,0,0,1,71
71780,-8.0,4.79,-5.56,0,0,1,71
71800,-9.0,2.94,-7.1,0,0,1,71
71820,-8.53,1.2,-7.23,0,0,1,71
71840,-7.71,1.04,-5.48,0,0,1,71
71860,-7.56,2.25,-4.31,0,0,1,71
71880,-8.05,3.18,-4.46,0,0,1,71
71900,-8.36,2.77,-5.41,0,0,1,71
71920,-8.24,1.59,-5.89,0,0,1,71
71940,-8.21,0.58,-5.62,0,0,1,71
71960,-8.31,-0.1,-5.53,0,0,1,71
71980,-8.77,-0.39,-5.58,0,0,1,71
