timestamp,Accel_X,Accel_Y,Accel_Z,Fall_Indicator,Label,Event_ID,Window_Number
64000,-5.4,-1.57,-3.59,0,0,1,65
64020,-8.3,1.61,-7.06,0,0,1,65
64040,-10.45,2.28,-9.51,0,0,1,65
64060,-9.21,2.94,-9.81,0,0,1,65
64080,-7.85,2.25,-6.65,0,0,1,65
64100,-6.6,1.9,-3.8,0,0,1,65
64120,-6.1,1.8,-3.38,0,0,1,65
64140,-7.24,1.56,-4.65,0,0,1,65
64160,-7.79,1.88,-6.13,0,0,1,65
64180,-8.33,2.59,-6.6,0,0,1,65
64200,-7.75,2.86,-6.22,0,0,1,65
64220,-7.25,2.75,-5.15,0,0,1,65
64240,-7.19,2.15,-4.29,0,0,1,65
64260,-7.14,1.53,-4.21,0,0,1,65
64280,-7.19,1.25,-4.98,0,0,1,65
64300,-7.97,1.08,-5.41,0,0,1,65
64320,-7.57,1.54,-6.03,0,0,1,65
64340,-7.53,1.82,-5.83,0,0,1,65
64360,-7.4,2.42,-5.21,0,0,1,65
64380,-6.87,2.63,-4.95,0,0,1,65
64400,-7.97,1.41,-5.23,0,0,1,65
64420,-8.41,0.7,-5.29,0,0,1,65
64440,-7.81,1.84,-5.38,0,0,1,65
64460,-6.9,1.86,-5.95,0,0,1,65
64480,-9.63,3.27,-3.83,0,0,1,65
64500,-9.62,5.5,-4.55,0,0,1,65
64520,-11.06,6.22,-7.52,0,0,1,65
64540,-13.7,4.01,-9.35,0,0,1,65
64560,-11.37,1.16,-10.14,0,0,1,65
64580,-9.85,-2.18,-9.75,0,0,1,65
64600,-7.94,-3.96,-5.87,0,0,1,65
64620,-3.55,-4.9,0.68,0,0,1,65
64640,-0.28,-5.48,4.66,0,0,1,65
64660,-4.45,-2.4,0.95,0,0,1,65
64680,-12.06,2.91,-3.87,0,0,1,65
64700,-14.05,6.04,-8.3,0,0,1,65
64720,-13.68,5.71,-11.84,0,0,1,65
64740,-11.96,3.82,-10.98,0,0,1,65
64760,-7.96,2.17,-6.02,0,0,1,65
64780,-5.75,0.76,-0.89,0,0,1,65
64800,-4.69,-0.26,1.29,0,0,1,65
64820,-6.53,1.13,-2.5,0,0,1,65
64840,-7.65,2.28,-5.06,0,0,1,65
64860,-6.05,3.05,-5.33,0,0,1,65
64880,-4.98,2.93,-2.72,0,0,1,65
64900,-5.54,2.35,-1.38,0,0,1,65
64920,-6.27,1.93,-3.23,0,0,1,65
64940,-8.04,1.61,-5.91,0,0,1,65
64960,-8.44,2.96,-6.1,0,0,1,65
64980,-8.1,3.32,-5.11,0,0,1,65
65000,-11.69,0.29,-4.28,0,0,1,65
65020,-9.26,1.18,-8.67,0,0,1,65
65040,-12.19,2.61,-6.49,0,0,1,65
65060,-11.59,4.69,-1.11,0,0,1,65
65080,-10.24,5.91,-2.59,0,0,1,65
65100,-10.99,3.68,-8.13,0,0,1,65
65120,-10.35,-1.64,-9.72,0,0,1,65
65140,-8.04,-3.61,-6.09,0,0,1,65
65160,-6.6,-0.57,-2.56,0,0,1,65
65180,-7.51,2.63,-4.09,0,0,1,65
65200,-7.97,3.48,-6.39,0,0,1,65
65220,-7.55,2.5,-7.04,0,0,1,65
65240,-6.34,2.0,-6.13,0,0,1,65
65260,-6.32,1.72,-5.08,0,0,1,65
65280,-5.21,0.96,-4.84,0,0,1,65
65300,-4.28,-0.7,-4.83,0,0,1,65
65320,-5.16,-1.97,-4.01,0,0,1,65
65340,-4.73,0.32,-3.67,0,0,1,65
65360,-5.82,3.98,-4.15,0,0,1,65
65380,-6.48,7.78,-5.48,0,0,1,65
65400,-9.2,9.26,-5.09,0,0,1,65
65420,-10.57,8.07,-5.58,0,0,1,65
65440,-11.85,2.01,-8.31,0,0,1,65
65460,-16.36,-1.08,-5.74,0,0,1,65
65480,-12.99,0.02,-5.69,0,0,1,65
65500,-11.83,-1.09,-8.75,0,0,1,65
65520,-10.26,-2.22,-8.95,0,0,1,65
65540,-8.88,-2.4,-6.47,0,0,1,65
65560,-7.18,-0.17,-1.75,0,0,1,65
65580,-6.62,3.79,0.89,0,0,1,65
65600,-8.24,6.09,-0.64,0,0,1,65
65620,-10.17,4.25,-3.58,0,0,1,65
65640,-9.47,1.12,-5.3,0,0,1,65
65660,-7.35,-0.67,-4.18,0,0,1,65
65680,-5.23,0.39,-1.82,0,0,1,65
65700,-4.31,2.64,-0.23,0,0,1,65
65720,-6.01,4.56,-0.37,0,0,1,65
65740,-6.9,4.83,-1.6,0,0,1,65
65760,-4.79,3.42,-2.39,0,0,1,65
65780,-5.55,0.65,-1.69,0,0,1,65
65800,-13.24,-5.32,-5.92,0,0,1,65
65820,-11.9,-2.52,-11.62,0,0,1,65
65840,-10.21,4.53,-4.14,0,0,1,65
65860,-7.02,9.63,1.59,0,0,1,65
65880,-8.49,9.39,-1.8,0,0,1,65
65900,-11.2,4.06,-10.25,0,0,1,65
65920,-11.69,-0.74,-12.58,0,0,1,65
65940,-8.84,-0.98,-7.51,0,0,1,65
65960,-7.69,2.44,-3.31,0,0,1,65
65980,-7.94,5.81,-3.87,0,0,1,65
